2022-03-12 19:57:33,047 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1
2022-03-12 20:00:48,936 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1
2022-03-12 20:01:16,202 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 20:50:08,757 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 20:52:54,039 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 20:52:58,191 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 20:53:57,753 [1] INFO  WowsTools.WowsMain - .net framework 信息：4.0.30319.42000

2022-03-12 20:53:57,807 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 20:54:01,949 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 20:54:30,663 [1] INFO  WowsTools.WowsMain - 游戏路径:D:\Games\World_of_Warships\

2022-03-12 20:54:30,664 [1] INFO  WowsTools.WowsMain - 游戏replays路径:D:\Games\World_of_Warships\replays/tempArenaInfo.json

2022-03-12 20:54:30,669 [5] INFO  WowsTools.WowsMain - 所在服务器：asia

2022-03-12 20:54:30,782 [5] INFO  WowsTools.WowsMain - 对局用户数量：24

2022-03-12 20:54:34,492 [5] INFO  WowsTools.model.WowsUserInfo - 查询用户账号信息：2025475420,2020399714,2023841999,2032204582,2023915835,2022214870,2022771624,2025528770,2024540290,2022515210,2008372091,2017809493,2020438358,2033437990,2034043504,2030308453,2025973286,2019290489,2026737974,2036842169,2023838310,2026740012,2023947023,2007037012,

2022-03-12 20:54:40,676 [5] INFO  WowsTools.WowsMain - 开始渲染数据...

2022-03-12 20:55:57,217 [1] INFO  WowsTools.WowsMain - .net framework 信息：4.0.30319.42000

2022-03-12 20:55:57,266 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 20:56:15,240 [1] INFO  WowsTools.WowsMain - .net framework 信息：4.0.30319.42000

2022-03-12 20:56:15,300 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 20:56:19,421 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 20:56:19,435 [1] INFO  WowsTools.WowsMain - 游戏路径:D:\Games\World_of_Warships\

2022-03-12 20:56:19,436 [1] INFO  WowsTools.WowsMain - 游戏replays路径:D:\Games\World_of_Warships\replays/tempArenaInfo.json

2022-03-12 20:56:19,441 [5] INFO  WowsTools.WowsMain - 所在服务器：asia

2022-03-12 20:58:07,326 [1] INFO  WowsTools.WowsMain - .net framework 信息：.NET Framework 4.8.4470.0

2022-03-12 20:58:07,379 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 20:58:11,479 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 20:58:11,493 [1] INFO  WowsTools.WowsMain - 游戏路径:D:\Games\World_of_Warships\

2022-03-12 20:58:11,494 [1] INFO  WowsTools.WowsMain - 游戏replays路径:D:\Games\World_of_Warships\replays/tempArenaInfo.json

2022-03-12 20:58:11,503 [5] INFO  WowsTools.WowsMain - 所在服务器：asia

2022-03-12 20:58:11,618 [5] INFO  WowsTools.WowsMain - 对局用户数量：24

2022-03-12 20:59:02,497 [1] INFO  WowsTools.WowsMain - .net framework 信息：.NET Framework 4.8.4470.0

2022-03-12 20:59:02,553 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 20:59:06,652 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 20:59:06,667 [1] INFO  WowsTools.WowsMain - 游戏路径:D:\Games\World_of_Warships\

2022-03-12 20:59:06,668 [1] INFO  WowsTools.WowsMain - 游戏replays路径:D:\Games\World_of_Warships\replays/tempArenaInfo.json

2022-03-12 20:59:06,673 [5] INFO  WowsTools.WowsMain - 所在服务器：asia

2022-03-12 20:59:06,785 [5] INFO  WowsTools.WowsMain - 对局用户数量：24

2022-03-12 20:59:09,591 [5] INFO  WowsTools.model.WowsUserInfo - 查询用户账号信息：2025475420,2020399714,2023841999,2032204582,2023915835,2022214870,2022771624,2025528770,2024540290,2022515210,2008372091,2017809493,2020438358,2033437990,2034043504,2030308453,2025973286,2019290489,2026737974,2036842169,2023838310,2026740012,2023947023,2007037012,

2022-03-12 21:02:08,700 [1] INFO  WowsTools.WowsMain - 当前平台的 .net framework 信息：4.0.30319.42000

2022-03-12 21:02:08,729 [1] INFO  WowsTools.WowsMain - 正在运行的 .net framework 信息：.NET Framework 4.8.4470.0

2022-03-12 21:02:08,758 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.2

2022-03-12 21:02:17,840 [1] ERROR WowsTools.Program - ****************************异常文本****************************
【出现时间】：2022/3/12 21:02:17
【异常类型】：WebException
【异常信息】：远程服务器返回错误: (502) 错误的网关。
【堆栈调用】：   在 System.Net.HttpWebRequest.GetResponse()
   在 WowsTools.utils.HttpUtils.Get(String url) 位置 C:\Users\yuyuko\source\repos\WowsTools\utils\HttpUtils.cs:行号 29
   在 WowsTools.utils.HttpUtils.GetVersion() 位置 C:\Users\yuyuko\source\repos\WowsTools\utils\HttpUtils.cs:行号 19
   在 WowsTools.WowsMain.CheckUpdate() 位置 C:\Users\yuyuko\source\repos\WowsTools\WowsMain.cs:行号 280
   在 WowsTools.WowsMain.timerGameCheck_Tick(Object sender, EventArgs e) 位置 C:\Users\yuyuko\source\repos\WowsTools\WowsMain.cs:行号 92
   在 System.Windows.Forms.Timer.OnTick(EventArgs e)
   在 System.Windows.Forms.Timer.TimerNativeWindow.WndProc(Message& m)
   在 System.Windows.Forms.NativeWindow.DebuggableCallback(IntPtr hWnd, Int32 msg, IntPtr wparam, IntPtr lparam)
   在 System.Windows.Forms.UnsafeNativeMethods.DispatchMessageW(MSG& msg)
   在 System.Windows.Forms.Application.ComponentManager.System.Windows.Forms.UnsafeNativeMethods.IMsoComponentManager.FPushMessageLoop(IntPtr dwComponentID, Int32 reason, Int32 pvLoopData)
   在 System.Windows.Forms.Application.ThreadContext.RunMessageLoopInner(Int32 reason, ApplicationContext context)
   在 System.Windows.Forms.Application.ThreadContext.RunMessageLoop(Int32 reason, ApplicationContext context)
   在 WowsTools.Program.Main() 位置 C:\Users\yuyuko\source\repos\WowsTools\Program.cs:行号 24
【请截图发给作者解决 QQ：262749113】
***************************************************************


2022-03-12 21:04:25,096 [1] INFO  WowsTools.WowsMain - 当前平台的 .net framework 信息：4.0.30319.42000

2022-03-12 21:04:25,124 [1] INFO  WowsTools.WowsMain - 正在运行的 .net framework 信息：.NET Framework 4.8.4470.0

2022-03-12 21:04:25,161 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.2

2022-03-12 21:04:29,274 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 21:04:29,287 [1] INFO  WowsTools.WowsMain - 游戏路径:D:\Games\World_of_Warships\

2022-03-12 21:04:29,288 [1] INFO  WowsTools.WowsMain - 游戏replays路径:D:\Games\World_of_Warships\replays/tempArenaInfo.json

2022-03-12 21:04:29,294 [5] INFO  WowsTools.WowsMain - 所在服务器：asia

2022-03-12 21:04:29,406 [5] INFO  WowsTools.WowsMain - 对局用户数量：24

2022-03-12 21:05:35,003 [1] INFO  WowsTools.WowsMain - 当前平台的 .net framework 信息：4.0.30319.42000

2022-03-12 21:05:35,031 [1] INFO  WowsTools.WowsMain - 正在运行的 .net framework 信息：.NET Framework 4.8.4470.0

2022-03-12 21:05:35,056 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.2

2022-03-12 21:05:39,165 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 21:05:39,179 [1] INFO  WowsTools.WowsMain - 游戏路径:D:\Games\World_of_Warships\

2022-03-12 21:05:39,181 [1] INFO  WowsTools.WowsMain - 游戏replays路径:D:\Games\World_of_Warships\replays/tempArenaInfo.json

2022-03-12 21:05:39,189 [5] INFO  WowsTools.WowsMain - 所在服务器：asia

2022-03-12 21:05:39,306 [5] INFO  WowsTools.WowsMain - 对局用户数量：24

2022-03-12 21:05:42,070 [5] INFO  WowsTools.model.WowsUserInfo - 查询用户账号信息：2025475420,2020399714,2023841999,2032204582,2023915835,2022214870,2022771624,2025528770,2024540290,2022515210,2008372091,2017809493,2020438358,2033437990,2034043504,2030308453,2025973286,2019290489,2026737974,2036842169,2023838310,2026740012,2023947023,2007037012,

2022-03-12 21:05:47,514 [5] INFO  WowsTools.WowsMain - 开始渲染数据...

2022-03-12 21:07:59,731 [1] INFO  WowsTools.WowsMain - 当前平台的 .net framework 信息：4.0.30319.42000

2022-03-12 21:07:59,759 [1] INFO  WowsTools.WowsMain - 正在运行的 .net framework 信息：.NET Framework 4.8.4470.0

2022-03-12 21:07:59,782 [1] INFO  WowsTools.WowsMain - 初始化 版本=0.0.2

2022-03-12 21:08:03,921 [1] INFO  WowsTools.WowsMain - 检查版本 新版本=0.0.1

2022-03-12 21:08:03,934 [1] INFO  WowsTools.WowsMain - 游戏路径:D:\Games\World_of_Warships\

2022-03-12 21:08:03,936 [1] INFO  WowsTools.WowsMain - 游戏replays路径:D:\Games\World_of_Warships\replays/tempArenaInfo.json

2022-03-12 21:08:03,942 [5] INFO  WowsTools.WowsMain - 所在服务器：asia

2022-03-12 21:08:04,057 [5] INFO  WowsTools.WowsMain - 对局用户数量：24

2022-03-12 21:08:07,034 [5] INFO  WowsTools.model.WowsUserInfo - 查询用户账号信息：2025475420,2020399714,2023841999,2032204582,2023915835,2022214870,2022771624,2025528770,2024540290,2022515210,2008372091,2017809493,2020438358,2033437990,2034043504,2030308453,2025973286,2019290489,2026737974,2036842169,2023838310,2026740012,2023947023,2007037012,

